"Item"      ,"Indicators" ,"Status"       ,"Description"                         ,"Part Status" ,"Order Qty" ,"Shortage Date" ,"Multi-sourced" ,"Part Type Code" ,"Manufacturing LT" ,"Product Family" ,"Material Type" ,"Replenishement LT" ,"LT offset" ,"Max Order Qty" ,"Min Order Qty" ,"Multiple order qty" ,"Container Qty" ,"Phase-in"   ,"Phase-out"  ,"UOM" ,"Report Field 1"     ,"Report Field 2" ,"Report Field 3" ,"Report Field 4" ,"Report Field 5" ,"Report Field 6" ,"Report Field 7" ,"Report Field 8" ,"Report Field 9" ,"Report Field 10" ,"Planner Code" ,"Supplier Code" ,"Order Value" ,"Original Order Qty" ,"On-hand Qty" ,"Excess Qty" ,"Shortage Quantity" ,"Special Demand" ,"Planned Receipt" ,"Material" ,"Capacity" ,"Flagged" ,"RTO Priority" ,"Rule"   ,"Resource ID"        ,"Work Center Code" ,"WC Supplier Code" ,"Ordering Group"                      ,"Production Version" ,"Supply type"  ,"Location" ,"Reference"                ,"Settings"
"550025044" ,""           ,"YELLOWVOLUME" ,"Spirax S2 A 85W-140_1*209L_A227"     ,"02"          ,"1"         ,""              ,"false"         ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"2"                 ,"0"         ,"0"             ,"40"            ,"5"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D8277002VSHA227" ,"0.0318172"      ,"X1"             ,"X"              ,"1"              ,""               ,""               ,"ZD"             ,"APME"           ,""                ,"185"          ,"T026"          ,"8089.73"     ,"40"                 ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-02"      ,"NA"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"T804"     ,"SHELLLUBES2802221998"     ,"LOC~T804~ITEM~550025044~SUP~T026~REF~SHELLLUBES2802221998"
"550025463" ,""           ,"YELLOWVOLUME" ,"Spirax S2 G 140_1*209L_A1SA"         ,"02"          ,"1"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"4"                 ,"0"         ,"1"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D8263002VSHA1SA" ,"0.0065484"      ,"X1"             ,"X"              ,"1"              ,""               ,""               ,"FX"             ,"APME"           ,""                ,"185"          ,"P221"          ,"46761.38"    ,"1"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-03"      ,"NA"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"P330"     ,"SHELLLUBES2802222124"     ,"LOC~P330~ITEM~550025463~SUP~P221~REF~SHELLLUBES2802222124"
"550025670" ,""           ,"BLUEVOLUME"   ,"Gadus S3 V460D 2_1*180kg_A227"       ,"02"          ,"2"         ,""              ,"true"          ,"GPF"            ,""                 ,"YPAC"           ,"F"             ,"2"                 ,"0"         ,"0"             ,"14"            ,"14"                 ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D8429002VH7A227" ,"0.0318172"      ,"X1"             ,"X"              ,"1"              ,""               ,""               ,"ZF"             ,"APME"           ,""                ,"285"          ,"T026"          ,"37758.16"    ,"0"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-02"      ,"NA"       ,"NA"       ,"false"   ,"5"            ,"CYCLIC" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"T804"     ,"SHELLLUBES28022215331"    ,"LOC~T804~ITEM~550025670~SUP~T026~REF~SHELLLUBES28022215331"
"550025706" ,""           ,"RTO"          ,"Refrig S2 FR-A 68_1*209L_A1P5"       ,"02"          ,"2"         ,"2022-02-28"    ,"false"         ,"MTO"            ,""                 ,"YPAC"           ,"F"             ,"5"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D8392002VSHA1P5" ,"0.0129446"      ,"Z2"             ,"X"              ,"1"              ,""               ,""               ,"EX"             ,"ERA"            ,""                ,"185"          ,"R037"          ,"49738.75"    ,"2"                  ,""            ,"0"          ,"-2"                ,"true"           ,"2022-04-01"      ,"NA"       ,"Yes"      ,"false"   ,"5"            ,"RTO"    ,"FIN_GOODS_STORAGE"  ,"FINISHED_STORAGE" ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"R175"     ,"SHELLLUBES2802222186"     ,"LOC~R175~ITEM~550025706~SUP~R037~REF~SHELLLUBES2802222186"
"550024834" ,""           ,"RTO"          ,"Omala S4 GX 320_1*20L_A227"          ,"02"          ,"1"         ,"2022-02-28"    ,"false"         ,"MTO"            ,""                 ,"YPAC"           ,"F"             ,"28"                ,"0"         ,"0"             ,"25"            ,"1"                  ,"1"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7852002VNFA227" ,"0.0133747"      ,"Z2"             ,"X"              ,"1"              ,""               ,""               ,"EX"             ,"APME"           ,""                ,"185"          ,"H162"          ,"7354.32"     ,"1"                  ,""            ,"0"          ,"-158"              ,"true"           ,"2022-04-07"      ,"Yes"      ,"NA"       ,"false"   ,"5"            ,"RTO"    ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I328"     ,"SHELLLUBES2802221639-101" ,"LOC~I328~ITEM~550024834~SUP~H162~REF~SHELLLUBES2802221639-101"
"550024842" ,""           ,"REDVOLUME"    ,"Omala S4 GX 460_1*209L_A227"         ,"02"          ,"2"         ,""              ,"false"         ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"5"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7853002VSHA227" ,"0.0133747"      ,"X2"             ,"X"              ,"1"              ,""               ,""               ,"EX"             ,"APME"           ,""                ,"185"          ,"I480"          ,"158587.89"   ,"2"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-07"      ,"No"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I351"     ,"SHELLLUBES2802221653"     ,"LOC~I351~ITEM~550024842~SUP~I480~REF~SHELLLUBES2802221653"
"550024915" ,""           ,"REDVOLUME"    ,"Omala S4 GX 220_1*209L_A227"         ,"02"          ,"2"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"5"                 ,"0"         ,"4"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7851002VSHA227" ,"0.0133747"      ,"X2"             ,"X"              ,"1"              ,""               ,""               ,"EX"             ,"APME"           ,""                ,"185"          ,"I480"          ,"145611.95"   ,"2"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-07"      ,"No"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I339"     ,"SHELLLUBES2802221714"     ,"LOC~I339~ITEM~550024915~SUP~I480~REF~SHELLLUBES2802221714"
"550024915" ,""           ,"REDVOLUME"    ,"Omala S4 GX 220_1*209L_A227"         ,"02"          ,"3"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"4"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7851002VSHA227" ,"0.0133747"      ,"X2"             ,"X"              ,"1"              ,""               ,""               ,"ZC"             ,"APME"           ,""                ,"185"          ,"I480"          ,"218417.93"   ,"3"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-04"      ,"No"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I337"     ,"SHELLLUBES2802221713"     ,"LOC~I337~ITEM~550024915~SUP~I480~REF~SHELLLUBES2802221713"
"550024915" ,""           ,"REDVOLUME"    ,"Omala S4 GX 220_1*209L_A227"         ,"02"          ,"3"         ,""              ,"false"         ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"4"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7851002VSHA227" ,"0.0133747"      ,"X2"             ,"X"              ,"1"              ,""               ,""               ,"ZC"             ,"APME"           ,""                ,"185"          ,"I480"          ,"218417.93"   ,"3"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-04"      ,"No"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I389"     ,"SHELLLUBES2802221718"     ,"LOC~I389~ITEM~550024915~SUP~I480~REF~SHELLLUBES2802221718"
"550024955" ,""           ,"YELLOWVOLUME" ,"Corena S4 R 46_1*20L_A227"           ,"02"          ,"3"         ,""              ,"false"         ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"4"                 ,"0"         ,"0"             ,"3"             ,"1"                  ,"1"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7786002VNFA227" ,"0.0133747"      ,"X2"             ,"X"              ,"1"              ,""               ,""               ,"ZC"             ,"APME"           ,""                ,"185"          ,"I480"          ,"25960.89"    ,"3"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-04"      ,"Yes"      ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I335"     ,"SHELLLUBES2802221860"     ,"LOC~I335~ITEM~550024955~SUP~I480~REF~SHELLLUBES2802221860"
